Asking Price,Street,City,State
"$409,900+",The Crawford Plan, The Maxwell,
"$224,900",1975 Nocturne Dr UNIT 2206, Alpharetta, GA 30009
"$319,900",7210 Post Park Way, Cumming, GA 30040
"$755,900+",The Greenwood Plan, East of Main,
"$615,000",2560 Hamptons Run, Alpharetta, GA 30005
"$502,900+",The Bennett Plan, Central Park at Deerfield Township,
"$646,198",144 Britten Pass, Alpharetta, GA
"$620,000",420 Guardsman Ct, Alpharetta, GA 30022
"$374,900+",The Edgehill Plan, The Maxwell,
"$1,082,000+",Weatherford Plan, Shirley Estates,
"$299,000",200 Denna Dr, Alpharetta, GA 30009
"$774,900+",The Sterling Plan, East of Main,
"$925,000",1670 Eversedge Dr, Alpharetta, GA 30009
"$480,900+",The Wesley Plan, Central Park at Deerfield Township,
"$1,100,000+",West Main Plan E Plan, West Main Townhomes,
"$364,900+",The Fortman Plan, The Maxwell,
"$435,000",11850 Dancliff Trce, Alpharetta, GA 30009
"$353,890",6015 Stella Dr, Alpharetta, GA
"$435,000",300 Park Creek Dr, Alpharetta, GA 30005
"$449,900",5560 Surrey Ct, Alpharetta, GA 30009
"$538,900",360 Aylesworth Cv, Alpharetta, GA 30022
"$285,000",10360 Ash Rill Dr, Alpharetta, GA 30022
"$413,900+",Hunter Plan, Artisan,
"$650,000",12900 Cogburn Overlook, Alpharetta, GA 30004
"$400,000",10885 Pinewalk Forest Cir, Alpharetta, GA 30022
"$339,000",2630 Highland Pass, Alpharetta, GA 30004
"$434,900+",EDISON Plan, Caravelle at Windward Park : Caravelle,
"$400,000",10885 Pinewalk Forest Cir #38, Alpharetta, GA 30022
"$1,100,000+",Rosemoore Plan, Shirley Estates,
"$400,400",590 Duval Dr #0, Alpharetta, GA 30009
"$400,400",570 Duval Dr #0, Alpharetta, GA 30009
"$398,250",909 Catamaran Ct #0, Alpharetta, GA 30005
"$599,460",290 Villa Magnolia Ln #0, Alpharetta, GA 30009
"$446,405",720 Topsail Ln #0, Alpharetta, GA 30005
"$598,720",340 Villa Magnolia Ln #0, Alpharetta, GA 30009
"$400,250",585 Duval Dr #0, Alpharetta, GA 30009
"$426,800",560 Duval Dr #0, Alpharetta, GA 30009
